"","deplete","cost"
"1",0.024,0.0256522722609314
"2",0.028,0.0349973180682281
"3",0.032,0.0435284544999026
"4",0.031,0.0403831169530299
"5",0.031,0.0299512656439848
"6",0.029,0.0327643398189743
"7",0.035,0.0335675120007321
"8",0.037,0.0346297501105659
"9",0.032,0.025231225720296
"10",0.023,0.0277060003222899
"11",0.021,0.0176600985032401
"12",0.022,0.0317212684966235
"13",0.015,1.11499258776106
"14",0.011,200.041380263683
"15",0.012,55.6051458135744
"16",0.01,23.4889225053948
"17",0.01,25.1213751407051
"18",0.013,33.9318795410744
"19",0.011,163.88291371941
"20",0.011,228.785447322647
"21",0.009,29.9503257526542
"22",0.011,41.0642645417079
"23",0.014,8.56130521959216
"24",0.015,11.1156972761159
"25",0.017,11.521448790321
"26",0.015,3.46848019743706
"27",0.016,4.12347993953625
"28",0.016,8.38754736143431
"29",0.013,115.687908900535
"30",0.017,14.0900978766894
"31",0.017,3.15010403863569
"32",0.018,4.83593234153441
"33",0.018,7.14423681145064
"34",0.018,14.8992763918171
"35",0.013,27.3473089850268
"36",0.013,36.660975168159
"37",0.01,21.2826557152735
"38",0.008,23.0885194477135
"39",0.011,78.3782245949941
"40",0.011,49.1267588808659
"41",0.012,35.7563646586659
"42",0.012,39.4216781986798
"43",0.01,21.5893587228048
"44",0.008,19.393470761168
"45",0.013,26.6335426246145
"46",0.01,20.2154143777091
"47",0.008,17.5377636756862
"48",0.011,22.9262981181507
"49",0.011,25.5001365367792
"50",0.006,12.9959959924277
"51",0.009,22.3480005288891
"52",0.011,25.1592064149587
"53",0.008,20.5584159450675
"54",0.017,24.4028672143745
"55",0.011,22.3242065232566
"56",0.007,14.6029779485562
"57",0.006,15.5544022088718
"58",0.009,21.3443970033552
"59",0.012,23.9157607058896
"60",0.011,18.2736974072747
"61",0.013,48.4187729064704
"62",0.011,22.3803396822952
"63",0.008,19.9884105141955
"64",0.01,25.6362444107564
"65",0.015,42.0350822914587
"66",0.012,31.552376078455
"67",0.008,11.4040403580088
"68",0.009,18.327698300497
"69",0.017,14.1556077269446
"70",0.011,25.8879201405103
"71",0.016,43.2161926071441
"72",0.009,18.5282059742596
"73",0.012,29.6673926092743
"74",0.014,41.1309658002399
"75",0.009,16.8311432344665
"76",0.008,16.6796596564538
"77",0.01,19.7136307286163
"78",0.013,20.6895228649903
"79",0.012,26.7210070606957
"80",0.011,28.1597891455946
"81",0.016,8.77568890951454
"82",0.013,29.8683058354336
"83",0.015,66.432762275109
"84",0.012,28.7274890638947
"85",0.014,34.0770590567095
"86",0.009,14.9349664948125
"87",0.007,14.8575658179014
"88",0.009,18.995800779768
"89",0.012,26.1759509803474
"90",0.011,27.1393743427367
"91",0.013,30.0388167152566
"92",0.012,31.406413697533
"93",0.014,40.5568484932541
"94",0.015,47.1339111660809
"95",0.019,27.6323380603073
"96",0.014,41.0833396454544
"97",0.013,35.0472846970063
"98",0.022,4.9239319773103
"99",0.013,24.5082640435353
"100",0.012,27.2747428880689
"101",0.013,31.4052760680548
"102",0.012,28.361462861342
"103",0.009,21.415758655969
"104",0.007,11.1227439025667
"105",0.008,19.9301243377711
"106",0.013,36.2462441126799
"107",0.013,31.0034001488919
"108",0.008,19.409043212326
"109",0.005,11.3508825010369
"110",0.012,26.8000319595626
"111",0.012,22.4941317111
"112",0.008,16.7785514350978
"113",0.01,22.845226840764
"114",0.009,15.1640657397405
"115",0.007,16.0550509248707
"116",0.009,19.9079552843042
"117",0.012,24.3412229843589
"118",0.013,23.8720844607616
"119",0.015,34.8213186339634
"120",0.017,36.0741496878762
"121",0.016,51.2929129516471
"122",0.014,37.2265874136172
"123",0.019,59.4559691178948
"124",0.017,14.9113794616195
"125",0.014,23.5581113107075
"126",0.011,30.9454364353486
"127",0.016,44.0966591730429
"128",0.016,48.8412704119815
"129",0.015,42.2565965789005
"130",0.01,29.0411874153358
"131",0.016,31.2753223109867
"132",0.015,31.2970914144899
"133",0.019,14.2077126006436
"134",0.015,18.943994691399
"135",0.013,26.0141349094073
"136",0.008,19.1520578952958
"137",0.009,19.3669735123286
"138",0.008,14.7785391597544
"139",0.009,21.4662885852638
"140",0.01,19.7882447781536
"141",0.009,14.9730501700391
"142",0.006,13.0025550466147
"143",0.01,19.1241597516421
"144",0.01,20.9224964363831
"145",0.008,15.6110236804141
"146",0.012,33.2499361414961
"147",0.018,11.6015815986002
"148",0.016,47.8266981051773
"149",0.009,22.0173603035116
"150",0.008,18.1084100402995
"151",0.013,27.4794081003198
"152",0.012,25.9591387257196
"153",0.012,28.0954739461317
"154",0.012,26.6901275788863
"155",0.019,55.2643932208407
"156",0.017,36.3344793615489
"157",0.012,19.5140922968539
"158",0.01,18.9072943507119
"159",0.006,16.0681876701498
"160",0.005,11.6400956099068
"161",0.01,20.380854038482
"162",0.012,19.8314483248897
"163",0.01,18.4961993686143
"164",0.006,12.6479628742465
"165",0.009,22.036003142261
"166",0.009,20.8041545850482
"167",0.008,16.5976120056126
"168",0.008,20.7455016276514
"169",0.019,28.3805274817543
"170",0.018,8.9128992142382
"171",0.02,5.11472577223564
"172",0.021,6.89558974490891
"173",0.01,19.8669583789409
"174",0.017,54.7393274979468
"175",0.018,35.1365964558398
"176",0.016,49.4881901900082
"177",0.015,41.476320541768
"178",0.014,38.0450521329906
"179",0.012,24.6638102031811
"180",0.014,30.5561737448323
"181",0.016,47.3276004713146
"182",0.024,4.40256517705948
"183",0.025,1.53252224574501
"184",0.025,1.59441834093159
"185",0.022,6.1349868432263
"186",0.02,5.02100792692062
"187",0.01,22.387187374715
"188",0.015,28.9170820552072
"189",0.011,26.6282591743643
"190",0.018,73.4647285613532
"191",0.017,52.2299390422246
"192",0.017,11.7395597904968
"193",0.005,14.2919056254011
"194",0.01,23.7028532937574
"195",0.01,21.2464019207959
"196",0.009,19.4284367885302
"197",0.011,27.0680622115687
"198",0.011,17.3777368761946
"199",0.009,21.492840309017
"200",0.007,16.7759708978156
"201",0.006,20.2468637099805
"202",0.008,24.0314673663756
"203",0.016,45.6707404487788
"204",0.017,23.9908083773805
"205",0.006,19.5684615968126
"206",0.013,23.1110714982667
"207",0.014,34.9423987884106
"208",0.022,4.90558803462558
"209",0.023,3.63820155234444
"210",0.024,3.9861277543288
"211",0.019,9.52292357058651
"212",0.018,74.0656871662466
"213",0.011,24.0934886681336
"214",0.012,31.1457937931121
"215",0.009,22.4367754712912
"216",0.007,17.0980534091942
"217",0.012,31.1773118284017
"218",0.011,23.6880077488642
"219",0.013,30.1986507857263
"220",0.016,36.3528467106626
"221",0.02,5.3325698315919
"222",0.014,30.7339976857865
"223",0.017,61.2586570884842
"224",0.015,44.7573364892919
"225",0.011,20.5155226319485
"226",0.01,27.3043140012194
"227",0.012,26.084958415251
"228",0.018,57.7897566779038
"229",0.018,48.5608257024963
"230",0.015,46.8553799954849
"231",0.014,32.5793732441796
"232",0.019,6.37501436066185
"233",0.017,10.8299045347154
"234",0.006,13.3103404004549
"235",0.011,17.995252273211
"236",0.012,25.2603142877657
"237",0.012,31.85963704385
"238",0.011,24.1601913883802
"239",0.012,19.5227981965731
"240",0.013,27.3023821249053
"241",0.008,14.9887322371554
"242",0.006,15.7456815997853
"243",0.012,21.3386662703015
"244",0.005,12.2556196622143
"245",0.011,22.8416708558034
"246",0.014,21.9427835873289
"247",0.011,22.974805783564
"248",0.008,18.9053805853259
"249",0.017,13.1402899761444
"250",0.016,53.834479763656
"251",0.018,53.1929953235922
"252",0.015,20.0940044301697
"253",0.01,21.7020128406869
"254",0.016,38.6039915794199
"255",0.013,24.0047969735784
"256",0.011,21.8723738333261
"257",0.012,23.9063065295611
"258",0.013,29.6483771489386
"259",0.015,34.9221577434999
"260",0.016,50.1806739423585
"261",0.015,36.4445791755891
"262",0.014,29.0692568616595
"263",0.014,27.7195891804267
"264",0.015,36.3586628021154
"265",0.015,41.2013505009323
"266",0.016,14.5873181267284
"267",0.017,49.833894534511
"268",0.013,29.005977631901
"269",0.015,36.3512456827816
"270",0.008,15.3441450364261
"271",0.011,20.6875613919669
"272",0.011,23.3224649550575
"273",0.007,14.7669842310941
"274",0.005,16.3761204620335
"275",0.013,23.7488575503724
"276",0.012,17.220755692693
"277",0.011,24.0151846220862
"278",0.014,38.3486895708543
"279",0.017,84.3432885956388
"280",0.016,52.3028522561444
"281",0.012,25.8547303453191
"282",0.013,26.1894962463124
"283",0.011,21.3596265773458
"284",0.013,14.657753523125
"285",0.016,54.1758961840579
"286",0.014,37.2102298978095
"287",0.015,43.7098240096437
"288",0.017,47.911322725104
"289",0.014,21.7505351658434
"290",0.014,31.7350405771872
"291",0.015,44.9531945027173
"292",0.016,43.2744811775642
"293",0.019,44.5438506744562
"294",0.015,45.0630981677672
"295",0.015,43.0366040824384
"296",0.011,28.1414017911325
"297",0.019,20.0499898632556
"298",0.011,20.9995761572685
"299",0.01,26.4404405014544
"300",0.016,65.9677169458499
"301",0.016,52.1702103649036
"302",0.019,7.77596549863061
"303",0.017,8.5185120618947
"304",0.013,31.0018301442747
"305",0.01,21.313190524429
"306",0.005,11.0447536304314
"307",0.007,15.986377495934
"308",0.005,15.9821048776429
"309",0.009,21.5475784713653
"310",0.01,19.1961613577352
"311",0.01,20.5626920584386
"312",0.016,39.3220719024666
"313",0.009,21.7100225150216
"314",0.006,17.8300354631354
"315",0.01,17.2080498644943
"316",0.013,26.1759040071843
"317",0.017,13.7561368149799
"318",0.017,59.11376414101
"319",0.016,44.8174347030057
"320",0.008,15.1097894251427
"321",0.009,18.9834530606136
"322",0.01,24.971141961582
"323",0.013,28.9200743481296
"324",0.012,31.6166216975889
"325",0.013,37.9169611542297
"326",0.014,31.751363609487
"327",0.011,25.2214528114468
"328",0.012,24.5241679964331
"329",0.013,41.626816420867
"330",0.016,10.6608041639734
"331",0.017,40.9934407501512
"332",0.012,28.6116999614816
"333",0.014,25.9433558553479
"334",0.014,30.3025104122852
"335",0.01,17.0946701431219
"336",0.014,35.9062037394166
"337",0.014,33.0183448221364
"338",0.015,37.1584244244215
"339",0.01,19.9749498026823
"340",0.005,15.8120276992003
"341",0.006,14.110490067981
"342",0.01,26.1947262228663
"343",0.012,29.4843038611199
"344",0.006,12.4850722033663
"345",0.016,8.81855867619358
"346",0.009,23.5436411509467
"347",0.016,55.7693353116738
"348",0.017,38.7327099063028
"349",0.015,25.1753910507662
"350",0.016,40.5068181923952
"351",0.011,24.8961713079602
"352",0.016,41.4553860282204
"353",0.006,13.4526666538252
"354",0.008,17.0732879227637
"355",0.016,5.76103036432733
"356",0.015,27.4154139528379
"357",0.007,16.010712564765
"358",0.009,14.0633639338079
"359",0.006,18.5091103918629
"360",0.007,18.0808624841814
"361",0.01,23.6464374363152
"362",0.011,26.0236375812641
"363",0.006,21.1267031979657
"364",0.017,52.1646818306566
"365",0.016,50.3117637337725
"366",0.019,47.273060864357
"367",0.013,46.7358210816284
"368",0.017,36.893528998612
"369",0.014,35.2686722599154
"370",0.016,28.9465443728594
"371",0.016,37.3888405298579
"372",0.012,32.7149763239165
"373",0.016,49.4472814425981
"374",0.018,8.59915135626301
"375",0.018,23.3724754535569
"376",0.016,28.1689728152863
"377",0.012,25.6245402991486
"378",0.013,27.053113244514
"379",0.014,33.2742677443991
"380",0.013,33.4621736042746
"381",0.019,43.1162895772903
"382",0.016,31.2856412752383
"383",0.019,8.20846141432277
"384",0.015,37.636991869237
"385",0.018,9.71328665248421
"386",0.019,39.95598601063
"387",0.017,11.4815703537488
"388",0.019,7.13082863740003
"389",0.026,2.12881637160835
"390",0.025,1.41558092825729
"391",0.022,4.47923042216669
"392",0.023,3.34358778770384
"393",0.017,7.28951034357655
"394",0.016,48.4961903446265
"395",0.013,26.0148962680185
"396",0.008,15.6849039139181
"397",0.011,20.3945521729479
"398",0.006,15.0832566965043
"399",0.007,16.4710945294327
"400",0.009,14.8698110049491
"401",0.011,31.5649140442887
"402",0.008,20.3563704500304
